,title,release_year,rating
0,Man of Steel,2013,7
1,Mars Attacks!,1996,6.3
2,Green Lantern,2011,5.5
3,The Thing,1982,8.1
4,Men in Black,1997,7.3
5,Transformers,2007,7
6,E.T. the Extra-Terrestrial,1982,7.8
7,2001: A Space Odyssey,1968,8.3
8,Independence Day,1996,7
9,War of the Worlds,2005,6.5
10,They Live,1988,7.3
11,Men in Black II,2002,6.2
12,Battleship,2012,5.8
13,Signs,2002,6.7
14,Knowing,2009,6.2
15,Stalker,1979,8.1
16,Close Encounters of the Third Kind,1977,7.6
17,Starman,1984,7
18,The Blob,1988,6.6
19,Paul,2011,7
20,Heavy Metal,1981,6.7
21,Killer Klowns from Outer Space,1988,6.2
22,Cowboys & Aliens,2011,6
23,Flight of the Navigator,1986,6.9
24,Critters,1986,6.1
25,Fantastic 4: Rise of the Silver Surfer,2007,5.6
26,Monsters vs. Aliens,2009,6.4
27,Fire in the Sky,1993,6.5
28,The Day the Earth Stood Still,2008,5.5
29,Star Trek IV: The Voyage Home,1986,7.3
30,The Day the Earth Stood Still,1951,7.7
31,Battle Los Angeles,2011,5.7
32,The Fourth Kind,2009,5.9
33,V/H/S/2,2013,6
34,The X Files,1998,7
35,Race to Witch Mountain,2009,5.7
36,Night of the Creeps,1986,6.8
37,Chicken Little,2005,5.7
38,Mysterious Skin,2004,7.6
39,Sphere,1998,6.1
40,The War of the Worlds,1953,7.1
41,Repo Man,1984,6.9
42,Plan 9 from Outer Space,1957,4
43,Alien Nation,1988,6.3
44,My Favorite Martian,1999,5.1
45,This Island Earth,1955,5.9
46,Detention,2011,5.7
47,Shorts,2008,4.7
48,Communion,1989,5.6
49,Evils of the Night,1985,3.6
50,Arachnid,2001,3.9
51,Muppets from Space,1999,6.3
52,The Cat from Outer Space,1978,6.1
53,Liquid Sky,1982,6.1
54,CJ7,2008,6.4
55,Invaders from Mars,1953,6.3
56,Skinwalker Ranch,2013,5.1
57,Extraterrestrial,2014,5
58,Earth vs. the Flying Saucers,1956,6.4
59,Attack of the 50 Foot Woman,1958,5.1
60,Invasion of the Saucer Men,1957,5.5
61,Hangar 18,1980,5.4
62,Godzilla 2000: Millennium,1999,6.1
63,Night Skies,2007,4.6
64,Robinson Crusoe on Mars,1964,6.5
65,Nightbeast,1982,4.2
66,Alien Abduction,2014,4.9
67,Invasion of Astro-Monster,1965,6.3
68,Strange Invaders,1983,5.5
69,The Day Time Ended,1979,3.5
70,The Return,1980,3.7
71,Prey,1977,5.2
72,Devil Girl from Mars,1954,5
73,Le gendarme et les extra-terrestres,1979,6.3
74,Koi... Mil Gaya,2003,7.1
75,Save the Green Planet!,2003,7.3
76,The Atomic Submarine,1959,5.2
77,2069: A Sex Odyssey,1974,4.3
78,The Eel,1997,7.4
79,Time Runner,1993,4.2
